Countries,Type of Coffee,Year,Price paid to Growers in US cents/lb
Côte d'Ivoire,Robusta,2013,56.94
Democratic Republic of Congo,Robusta,2013,0.0
Ecuador,Robusta,2013,76.4
Gabon,Robusta,2013,91.84
Ghana,Robusta,2013,21.36
Guinea,Robusta,2013,0.0
India,Robusta,2013,94.88
Indonesia,Robusta,2013,0.0
Liberia,Robusta,2013,0.0
Madagascar,Robusta,2013,0.0
Nigeria,Robusta,2013,0.0
Papua New Guinea,Robusta,2013,24.04
Philippines,Robusta,2013,90.17
Sierra Leone,Robusta,2013,0.0
Sri Lanka,Robusta,2013,0.0
Tanzania,Robusta,2013,0.0
Thailand,Robusta,2013,103.77
Togo,Robusta,2013,66.56
Trinidad & Tobago,Robusta,2013,0.0
Uganda,Robusta,2013,67.71
Viet Nam,Robusta,2013,90.23
Colombia,Arabica,2014,159.71
Kenya,Arabica,2014,0.0
Tanzania,Arabica,2014,0.0
Bolivia (Plurinational State of),Arabica,2014,239.25
Burundi,Arabica,2014,0.0
Cameroon,Arabica,2014,0.0
Costa Rica,Arabica,2014,130.77
Cuba,Arabica,2014,235.71
Democratic Republic of Congo,Arabica,2014,0.0
Dominican Republic,Arabica,2014,183.56
Ecuador,Arabica,2014,100.45
El Salvador,Arabica,2014,117.01
Guatemala,Arabica,2014,152.83
Haiti,Arabica,2014,0.0
Honduras,Arabica,2014,118.94
India,Arabica,2014,175.65
Jamaica,Arabica,2014,0.0
Madagascar,Arabica,2014,0.0
Malawi,Arabica,2014,0.0
Mexico,Arabica,2014,0.0
Nicaragua,Arabica,2014,71.85
Panama,Arabica,2014,0.0
Papua New Guinea,Arabica,2014,86.31
Peru,Arabica,2014,125.69
Rwanda,Arabica,2014,0.0
Sri Lanka,Arabica,2014,0.0
Uganda,Arabica,2014,103.7
Venezuela,Arabica,2014,0.0
Zambia,Arabica,2014,0.0
Zimbabwe,Arabica,2014,0.0
Angola,Arabica,2014,54.61
Brazil,Arabica,2014,134.7
Ethiopia,Arabica,2014,83.24
Indonesia,Arabica,2014,0.0
Philippines,Arabica,2014,0.0
Thailand,Arabica,2014,113.33
Viet Nam,Arabica,2014,0.0
Angola,Robusta,2014,46.15
Benin,Robusta,2014,0.0
Brazil,Robusta,2014,81.16
Burundi,Robusta,2014,0.0
Cameroon,Robusta,2014,0.0
Central African Republic,Robusta,2014,0.0
Congo,Robusta,2014,0.0
Côte d'Ivoire,Robusta,2014,56.97
Democratic Republic of Congo,Robusta,2014,0.0
Ecuador,Robusta,2014,46.47
Gabon,Robusta,2014,91.89
Ghana,Robusta,2014,15.94
Guinea,Robusta,2014,0.0
India,Robusta,2014,104.63
Indonesia,Robusta,2014,0.0
Liberia,Robusta,2014,0.0
Madagascar,Robusta,2014,0.0
Nigeria,Robusta,2014,0.0
Papua New Guinea,Robusta,2014,22.63
Philippines,Robusta,2014,0.0
Sierra Leone,Robusta,2014,0.0
Sri Lanka,Robusta,2014,0.0
Tanzania,Robusta,2014,0.0
Thailand,Robusta,2014,92.04
Togo,Robusta,2014,59.88
Trinidad & Tobago,Robusta,2014,0.0
Uganda,Robusta,2014,70.18
Viet Nam,Robusta,2014,0.0
Colombia,Arabica,2015,119.4
Kenya,Arabica,2015,0.0
Tanzania,Arabica,2015,0.0
Bolivia (Plurinational State of),Arabica,2015,234.79
Burundi,Arabica,2015,0.0
Cameroon,Arabica,2015,0.0
Costa Rica,Arabica,2015,145.84
Cuba,Arabica,2015,235.71
Democratic Republic of Congo,Arabica,2015,0.0
Dominican Republic,Arabica,2015,171.01
Ecuador,Arabica,2015,0.0
El Salvador,Arabica,2015,87.45
Guatemala,Arabica,2015,139.22
Haiti,Arabica,2015,0.0
Honduras,Arabica,2015,110.97
India,Arabica,2015,157.1
Jamaica,Arabica,2015,0.0
Madagascar,Arabica,2015,0.0
Malawi,Arabica,2015,0.0
Mexico,Arabica,2015,0.0
Nicaragua,Arabica,2015,0.0
Panama,Arabica,2015,0.0
Papua New Guinea,Arabica,2015,66.52
Peru,Arabica,2015,104.29
Rwanda,Arabica,2015,0.0
Sri Lanka,Arabica,2015,0.0
Uganda,Arabica,2015,81.27
Venezuela,Arabica,2015,0.0
Zambia,Arabica,2015,0.0
Zimbabwe,Arabica,2015,0.0
Angola,Arabica,2015,45.81
Brazil,Arabica,2015,104.49
Ethiopia,Arabica,2015,76.03
Indonesia,Arabica,2015,0.0
Philippines,Arabica,2015,0.0
Thailand,Arabica,2015,124.58
Viet Nam,Arabica,2015,0.0
Angola,Robusta,2015,38.18
Benin,Robusta,2015,0.0
Brazil,Robusta,2015,73.53
Burundi,Robusta,2015,0.0
Cameroon,Robusta,2015,0.0
Central African Republic,Robusta,2015,40.03
Congo,Robusta,2015,0.0
Côte d'Ivoire,Robusta,2015,49.87
Democratic Republic of Congo,Robusta,2015,0.0
Ecuador,Robusta,2015,0.0
Gabon,Robusta,2015,77.07
Ghana,Robusta,2015,24.12
Guinea,Robusta,2015,0.0
India,Robusta,2015,87.95
Indonesia,Robusta,2015,0.0
Liberia,Robusta,2015,0.0
Madagascar,Robusta,2015,0.0
Nigeria,Robusta,2015,0.0
Papua New Guinea,Robusta,2015,25.1
Philippines,Robusta,2015,0.0
Sierra Leone,Robusta,2015,0.0
Sri Lanka,Robusta,2015,0.0
Tanzania,Robusta,2015,0.0
Thailand,Robusta,2015,96.53
Togo,Robusta,2015,59.55
Trinidad & Tobago,Robusta,2015,0.0
Uganda,Robusta,2015,60.22
Viet Nam,Robusta,2015,0.0
Colombia,Arabica,2016,123.56
Kenya,Arabica,2016,0.0
Tanzania,Arabica,2016,0.0
Bolivia (Plurinational State of),Arabica,2016,271.79
Burundi,Arabica,2016,0.0
Cameroon,Arabica,2016,0.0
Costa Rica,Arabica,2016,129.11
Cuba,Arabica,2016,235.71
Democratic Republic of Congo,Arabica,2016,0.0
Dominican Republic,Arabica,2016,177.19
Ecuador,Arabica,2016,0.0
El Salvador,Arabica,2016,89.53
Guatemala,Arabica,2016,135.47
Haiti,Arabica,2016,0.0
Honduras,Arabica,2016,93.17
India,Arabica,2016,132.21
Jamaica,Arabica,2016,0.0
Madagascar,Arabica,2016,0.0
Malawi,Arabica,2016,0.0
Mexico,Arabica,2016,0.0
Nicaragua,Arabica,2016,0.0
Panama,Arabica,2016,0.0
Papua New Guinea,Arabica,2016,57.5
Peru,Arabica,2016,78.84
Rwanda,Arabica,2016,0.0
Sri Lanka,Arabica,2016,0.0
Uganda,Arabica,2016,71.09
Venezuela,Arabica,2016,0.0
Zambia,Arabica,2016,0.0
Zimbabwe,Arabica,2016,0.0
Angola,Arabica,2016,100.46
Brazil,Arabica,2016,107.83
Ethiopia,Arabica,2016,87.31
Indonesia,Arabica,2016,0.0
Philippines,Arabica,2016,0.0
Thailand,Arabica,2016,0.0
Viet Nam,Arabica,2016,0.0
Angola,Robusta,2016,78.33
Benin,Robusta,2016,0.0
Brazil,Robusta,2016,92.78
Burundi,Robusta,2016,0.0
Cameroon,Robusta,2016,0.0
Central African Republic,Robusta,2016,30.74
Congo,Robusta,2016,0.0
Côte d'Ivoire,Robusta,2016,52.76
Democratic Republic of Congo,Robusta,2016,0.0
Ecuador,Robusta,2016,0.0
Gabon,Robusta,2016,0.0
Ghana,Robusta,2016,38.48
Guinea,Robusta,2016,0.0
India,Robusta,2016,82.71
Indonesia,Robusta,2016,0.0
Liberia,Robusta,2016,0.0
Madagascar,Robusta,2016,0.0
Nigeria,Robusta,2016,0.0
Papua New Guinea,Robusta,2016,21.54
Philippines,Robusta,2016,0.0
Sierra Leone,Robusta,2016,0.0
Sri Lanka,Robusta,2016,0.0
Tanzania,Robusta,2016,0.0
Thailand,Robusta,2016,0.0
Togo,Robusta,2016,65.73
Trinidad & Tobago,Robusta,2016,0.0
Uganda,Robusta,2016,59.41
Viet Nam,Robusta,2016,0.0
Colombia,Arabica,2017,125.76
Kenya,Arabica,2017,0.0
Tanzania,Arabica,2017,0.0
Bolivia (Plurinational State of),Arabica,2017,471.62
Burundi,Arabica,2017,0.0
Cameroon,Arabica,2017,0.0
Costa Rica,Arabica,2017,138.09
Cuba,Arabica,2017,235.71
Democratic Republic of Congo,Arabica,2017,62.37
Dominican Republic,Arabica,2017,173.36
Ecuador,Arabica,2017,0.0
El Salvador,Arabica,2017,87.62
Guatemala,Arabica,2017,134.12
Haiti,Arabica,2017,0.0
Honduras,Arabica,2017,90.77
India,Arabica,2017,135.75
Jamaica,Arabica,2017,0.0
Madagascar,Arabica,2017,0.0
Malawi,Arabica,2017,0.0
Mexico,Arabica,2017,0.0
Nicaragua,Arabica,2017,0.0
Panama,Arabica,2017,0.0
Papua New Guinea,Arabica,2017,0.0
Peru,Arabica,2017,0.0
Rwanda,Arabica,2017,0.0
Sri Lanka,Arabica,2017,0.0
Uganda,Arabica,2017,77.0
Venezuela,Arabica,2017,0.0
Zambia,Arabica,2017,0.0
Zimbabwe,Arabica,2017,0.0
Angola,Arabica,2017,159.48
Brazil,Arabica,2017,110.48
Ethiopia,Arabica,2017,81.51
Indonesia,Arabica,2017,0.0
Philippines,Arabica,2017,0.0
Thailand,Arabica,2017,0.0
Viet Nam,Arabica,2017,0.0
Angola,Robusta,2017,132.14
Benin,Robusta,2017,0.0
Brazil,Robusta,2017,98.21
Burundi,Robusta,2017,0.0
Cameroon,Robusta,2017,0.0
Central African Republic,Robusta,2017,0.0
Congo,Robusta,2017,0.0
Côte d'Ivoire,Robusta,2017,58.56
Democratic Republic of Congo,Robusta,2017,45.36
Ecuador,Robusta,2017,0.0
Gabon,Robusta,2017,0.0
Ghana,Robusta,2017,40.89
Guinea,Robusta,2017,0.0
India,Robusta,2017,94.97
Indonesia,Robusta,2017,0.0
Liberia,Robusta,2017,0.0
Madagascar,Robusta,2017,0.0
Nigeria,Robusta,2017,0.0
Papua New Guinea,Robusta,2017,0.0
Philippines,Robusta,2017,0.0
Sierra Leone,Robusta,2017,0.0
Sri Lanka,Robusta,2017,0.0
Tanzania,Robusta,2017,0.0
Thailand,Robusta,2017,0.0
Togo,Robusta,2017,68.73
Trinidad & Tobago,Robusta,2017,0.0
Uganda,Robusta,2017,63.95
Viet Nam,Robusta,2017,0.0
Colombia,Arabica,2018,113.52
Kenya,Arabica,2018,0.0
Tanzania,Arabica,2018,0.0
Bolivia (Plurinational State of),Arabica,2018,455.15
Burundi,Arabica,2018,0.0
Cameroon,Arabica,2018,70.79
Costa Rica,Arabica,2018,0.0
Cuba,Arabica,2018,0.0
Democratic Republic of Congo,Arabica,2018,62.37
Dominican Republic,Arabica,2018,153.61
Ecuador,Arabica,2018,0.0
El Salvador,Arabica,2018,74.53
Guatemala,Arabica,2018,122.18
Haiti,Arabica,2018,0.0
Honduras,Arabica,2018,84.04
India,Arabica,2018,110.12
Jamaica,Arabica,2018,0.0
Madagascar,Arabica,2018,0.0
Malawi,Arabica,2018,0.0
Mexico,Arabica,2018,0.0
Nicaragua,Arabica,2018,0.0
Panama,Arabica,2018,0.0
Papua New Guinea,Arabica,2018,0.0
Peru,Arabica,2018,0.0
Rwanda,Arabica,2018,0.0
Sri Lanka,Arabica,2018,0.0
Uganda,Arabica,2018,68.25
Venezuela,Arabica,2018,0.0
Zambia,Arabica,2018,0.0
Zimbabwe,Arabica,2018,0.0
Angola,Arabica,2018,120.52
Brazil,Arabica,2018,90.78
Ethiopia,Arabica,2018,70.68
Indonesia,Arabica,2018,0.0
Philippines,Arabica,2018,0.0
Thailand,Arabica,2018,0.0
Viet Nam,Arabica,2018,0.0
Angola,Robusta,2018,100.43
Benin,Robusta,2018,0.0
Brazil,Robusta,2018,67.42
Burundi,Robusta,2018,0.0
Cameroon,Robusta,2018,45.22
Central African Republic,Robusta,2018,0.0
Congo,Robusta,2018,0.0
Côte d'Ivoire,Robusta,2018,61.97
Democratic Republic of Congo,Robusta,2018,45.36
Ecuador,Robusta,2018,0.0
Gabon,Robusta,2018,0.0
Ghana,Robusta,2018,0.0
Guinea,Robusta,2018,0.0
India,Robusta,2018,78.48
Indonesia,Robusta,2018,0.0
Liberia,Robusta,2018,0.0
Madagascar,Robusta,2018,0.0
Nigeria,Robusta,2018,0.0
Papua New Guinea,Robusta,2018,0.0
Philippines,Robusta,2018,0.0
Sierra Leone,Robusta,2018,0.0
Sri Lanka,Robusta,2018,0.0
Tanzania,Robusta,2018,0.0
Thailand,Robusta,2018,0.0
Togo,Robusta,2018,70.93
Trinidad & Tobago,Robusta,2018,0.0
Uganda,Robusta,2018,57.23
Viet Nam,Robusta,2018,0.0
Colombia,Arabica,2019,108.68
Kenya,Arabica,2019,0.0
Tanzania,Arabica,2019,0.0
Bolivia (Plurinational State of),Arabica,2019,858.29
Burundi,Arabica,2019,0.0
Cameroon,Arabica,2019,70.85
Costa Rica,Arabica,2019,0.0
Cuba,Arabica,2019,0.0
Democratic Republic of Congo,Arabica,2019,62.37
Dominican Republic,Arabica,2019,148.26
Ecuador,Arabica,2019,0.0
El Salvador,Arabica,2019,65.55
Guatemala,Arabica,2019,0.0
Haiti,Arabica,2019,0.0
Honduras,Arabica,2019,72.37
India,Arabica,2019,105.96
Jamaica,Arabica,2019,0.0
Madagascar,Arabica,2019,0.0
Malawi,Arabica,2019,0.0
Mexico,Arabica,2019,0.0
Nicaragua,Arabica,2019,0.0
Panama,Arabica,2019,0.0
Papua New Guinea,Arabica,2019,0.0
Peru,Arabica,2019,0.0
Rwanda,Arabica,2019,0.0
Sri Lanka,Arabica,2019,0.0
Uganda,Arabica,2019,60.85
Venezuela,Arabica,2019,0.0
Zambia,Arabica,2019,0.0
Zimbabwe,Arabica,2019,0.0
Angola,Arabica,2019,0.0
Brazil,Arabica,2019,81.48
Ethiopia,Arabica,2019,69.31
Indonesia,Arabica,2019,0.0
Philippines,Arabica,2019,0.0
Thailand,Arabica,2019,0.0
Viet Nam,Arabica,2019,0.0
Angola,Robusta,2019,0.0
Benin,Robusta,2019,0.0
Brazil,Robusta,2019,56.45
Burundi,Robusta,2019,0.0
Cameroon,Robusta,2019,45.26
Central African Republic,Robusta,2019,0.0
Congo,Robusta,2019,0.0
Côte d'Ivoire,Robusta,2019,0.0
Democratic Republic of Congo,Robusta,2019,45.36
Ecuador,Robusta,2019,0.0
Gabon,Robusta,2019,0.0
Ghana,Robusta,2019,0.0
Guinea,Robusta,2019,0.0
India,Robusta,2019,70.68
Indonesia,Robusta,2019,0.0
Liberia,Robusta,2019,0.0
Madagascar,Robusta,2019,0.0
Nigeria,Robusta,2019,0.0
Papua New Guinea,Robusta,2019,0.0
Philippines,Robusta,2019,0.0
Sierra Leone,Robusta,2019,0.0
Sri Lanka,Robusta,2019,0.0
Tanzania,Robusta,2019,0.0
Thailand,Robusta,2019,0.0
Togo,Robusta,2019,70.5
Trinidad & Tobago,Robusta,2019,0.0
Uganda,Robusta,2019,54.61
Viet Nam,Robusta,2019,0.0
